,event_id,game_session,timestamp,event_data,installation_id,event_count,event_code,game_time,title,type,world
2228,25fa8af4,901acc108f55a5a1,2019-08-06T05:22:32.357Z,"{""correct"":true,""stumps"":[1,2,4],""event_count"":44,""game_time"":31011,""event_code"":4100}",0006a69f,44,4100,31011,Mushroom Sorter (Assessment),Assessment,TREETOPCITY
2275,dcb55a27,80d34a30c2998653,2019-08-06T05:24:05.811Z,"{""distance"":8,""round"":0,""event_count"":43,""game_time"":69853,""event_code"":4110}",0006a69f,43,4110,69853,Air Show,Game,TREETOPCITY
2288,dcb55a27,80d34a30c2998653,2019-08-06T05:24:24.726Z,"{""distance"":10,""round"":0,""event_count"":56,""game_time"":88771,""event_code"":4110}",0006a69f,56,4110,88771,Air Show,Game,TREETOPCITY
2308,14de4c5d,80d34a30c2998653,2019-08-06T05:24:50.323Z,"{""distance"":10,""target_distances"":[5,6,7,8,9,10],""correct"":true,""round"":1,""event_count"":76,""game_time"":114370,""event_code"":4100}",0006a69f,76,4100,114370,Air Show,Game,TREETOPCITY
2335,14de4c5d,80d34a30c2998653,2019-08-06T05:25:11.292Z,"{""distance"":9,""target_distances"":[5,6,7],""correct"":false,""round"":2,""event_count"":103,""game_time"":135341,""event_code"":4100}",0006a69f,103,4100,135341,Air Show,Game,TREETOPCITY
2375,14de4c5d,80d34a30c2998653,2019-08-06T05:25:37.207Z,"{""distance"":3,""target_distances"":[5,6,7],""correct"":false,""round"":2,""event_count"":143,""game_time"":161258,""event_code"":4100}",0006a69f,143,4100,161258,Air Show,Game,TREETOPCITY
2409,14de4c5d,80d34a30c2998653,2019-08-06T05:26:01.055Z,"{""distance"":8,""target_distances"":[5,6,7],""correct"":false,""round"":2,""event_count"":177,""game_time"":185103,""event_code"":4100}",0006a69f,177,4100,185103,Air Show,Game,TREETOPCITY
2709,17113b36,77b8ee947eb84b4e,2019-08-06T05:35:54.898Z,"{""correct"":false,""caterpillars"":[11,8,3],""event_count"":29,""game_time"":35771,""event_code"":4110}",0006a69f,29,4110,35771,Bird Measurer (Assessment),Assessment,TREETOPCITY
2715,17113b36,77b8ee947eb84b4e,2019-08-06T05:36:01.927Z,"{""correct"":false,""caterpillars"":[11,8,11],""event_count"":35,""game_time"":42805,""event_code"":4110}",0006a69f,35,4110,42805,Bird Measurer (Assessment),Assessment,TREETOPCITY
2720,17113b36,77b8ee947eb84b4e,2019-08-06T05:36:06.512Z,"{""correct"":false,""caterpillars"":[11,8,5],""event_count"":40,""game_time"":47388,""event_code"":4110}",0006a69f,40,4110,47388,Bird Measurer (Assessment),Assessment,TREETOPCITY
2725,17113b36,77b8ee947eb84b4e,2019-08-06T05:36:09.739Z,"{""correct"":false,""caterpillars"":[11,8,7],""event_count"":45,""game_time"":50605,""event_code"":4110}",0006a69f,45,4110,50605,Bird Measurer (Assessment),Assessment,TREETOPCITY
2730,17113b36,77b8ee947eb84b4e,2019-08-06T05:36:13.951Z,"{""correct"":false,""caterpillars"":[11,8,4],""event_count"":50,""game_time"":54822,""event_code"":4110}",0006a69f,50,4110,54822,Bird Measurer (Assessment),Assessment,TREETOPCITY
2733,17113b36,77b8ee947eb84b4e,2019-08-06T05:36:17.407Z,"{""correct"":false,""caterpillars"":[11,8,4],""event_count"":53,""game_time"":58280,""event_code"":4110}",0006a69f,53,4110,58280,Bird Measurer (Assessment),Assessment,TREETOPCITY
2738,17113b36,77b8ee947eb84b4e,2019-08-06T05:36:21.390Z,"{""correct"":false,""caterpillars"":[11,8,2],""event_count"":58,""game_time"":62256,""event_code"":4110}",0006a69f,58,4110,62256,Bird Measurer (Assessment),Assessment,TREETOPCITY
2743,17113b36,77b8ee947eb84b4e,2019-08-06T05:36:26.296Z,"{""correct"":false,""caterpillars"":[11,8,1],""event_count"":63,""game_time"":67164,""event_code"":4110}",0006a69f,63,4110,67164,Bird Measurer (Assessment),Assessment,TREETOPCITY
2750,17113b36,77b8ee947eb84b4e,2019-08-06T05:36:32.187Z,"{""correct"":false,""caterpillars"":[11,8,1],""event_count"":70,""game_time"":73056,""event_code"":4110}",0006a69f,70,4110,73056,Bird Measurer (Assessment),Assessment,TREETOPCITY
2756,17113b36,77b8ee947eb84b4e,2019-08-06T05:36:38.140Z,"{""correct"":false,""caterpillars"":[5,8,1],""event_count"":76,""game_time"":79006,""event_code"":4110}",0006a69f,76,4110,79006,Bird Measurer (Assessment),Assessment,TREETOPCITY
2765,17113b36,77b8ee947eb84b4e,2019-08-06T05:36:49.155Z,"{""correct"":false,""caterpillars"":[5,8,6],""event_count"":85,""game_time"":90032,""event_code"":4110}",0006a69f,85,4110,90032,Bird Measurer (Assessment),Assessment,TREETOPCITY
2797,25fa8af4,6bdf9623adc94d89,2019-08-06T05:38:08.036Z,"{""correct"":true,""stumps"":[1,2,4],""event_count"":30,""game_time"":18026,""event_code"":4100}",0006a69f,30,4100,18026,Mushroom Sorter (Assessment),Assessment,TREETOPCITY
3725,25fa8af4,9501794defd84e4d,2019-08-06T20:35:12.290Z,"{""correct"":false,""stumps"":[3,2,5],""event_count"":29,""game_time"":18484,""event_code"":4100}",0006a69f,29,4100,18484,Mushroom Sorter (Assessment),Assessment,TREETOPCITY
3734,25fa8af4,9501794defd84e4d,2019-08-06T20:35:16.846Z,"{""correct"":true,""stumps"":[2,3,5],""event_count"":38,""game_time"":23043,""event_code"":4100}",0006a69f,38,4100,23043,Mushroom Sorter (Assessment),Assessment,TREETOPCITY
3773,14de4c5d,8043825259dc7ddd,2019-08-06T20:36:23.582Z,"{""distance"":10,""target_distances"":[6,7,8,9,10],""correct"":true,""round"":1,""event_count"":35,""game_time"":46494,""event_code"":4100}",0006a69f,35,4100,46494,Air Show,Game,TREETOPCITY
