,event_id,game_session,timestamp,event_data,installation_id,event_count,event_code,game_time,title,type,world
2228,25fa8af4,901acc108f55a5a1,2019-08-06T05:22:32.357Z,"{""correct"":true,""stumps"":[1,2,4],""event_count"":44,""game_time"":31011,""event_code"":4100}",0006a69f,44,4100,31011,Mushroom Sorter (Assessment),Assessment,TREETOPCITY
2709,17113b36,77b8ee947eb84b4e,2019-08-06T05:35:54.898Z,"{""correct"":false,""caterpillars"":[11,8,3],""event_count"":29,""game_time"":35771,""event_code"":4110}",0006a69f,29,4110,35771,Bird Measurer (Assessment),Assessment,TREETOPCITY
2715,17113b36,77b8ee947eb84b4e,2019-08-06T05:36:01.927Z,"{""correct"":false,""caterpillars"":[11,8,11],""event_count"":35,""game_time"":42805,""event_code"":4110}",0006a69f,35,4110,42805,Bird Measurer (Assessment),Assessment,TREETOPCITY
2720,17113b36,77b8ee947eb84b4e,2019-08-06T05:36:06.512Z,"{""correct"":false,""caterpillars"":[11,8,5],""event_count"":40,""game_time"":47388,""event_code"":4110}",0006a69f,40,4110,47388,Bird Measurer (Assessment),Assessment,TREETOPCITY
2725,17113b36,77b8ee947eb84b4e,2019-08-06T05:36:09.739Z,"{""correct"":false,""caterpillars"":[11,8,7],""event_count"":45,""game_time"":50605,""event_code"":4110}",0006a69f,45,4110,50605,Bird Measurer (Assessment),Assessment,TREETOPCITY
2730,17113b36,77b8ee947eb84b4e,2019-08-06T05:36:13.951Z,"{""correct"":false,""caterpillars"":[11,8,4],""event_count"":50,""game_time"":54822,""event_code"":4110}",0006a69f,50,4110,54822,Bird Measurer (Assessment),Assessment,TREETOPCITY
2733,17113b36,77b8ee947eb84b4e,2019-08-06T05:36:17.407Z,"{""correct"":false,""caterpillars"":[11,8,4],""event_count"":53,""game_time"":58280,""event_code"":4110}",0006a69f,53,4110,58280,Bird Measurer (Assessment),Assessment,TREETOPCITY
2738,17113b36,77b8ee947eb84b4e,2019-08-06T05:36:21.390Z,"{""correct"":false,""caterpillars"":[11,8,2],""event_count"":58,""game_time"":62256,""event_code"":4110}",0006a69f,58,4110,62256,Bird Measurer (Assessment),Assessment,TREETOPCITY
2743,17113b36,77b8ee947eb84b4e,2019-08-06T05:36:26.296Z,"{""correct"":false,""caterpillars"":[11,8,1],""event_count"":63,""game_time"":67164,""event_code"":4110}",0006a69f,63,4110,67164,Bird Measurer (Assessment),Assessment,TREETOPCITY
2750,17113b36,77b8ee947eb84b4e,2019-08-06T05:36:32.187Z,"{""correct"":false,""caterpillars"":[11,8,1],""event_count"":70,""game_time"":73056,""event_code"":4110}",0006a69f,70,4110,73056,Bird Measurer (Assessment),Assessment,TREETOPCITY
2756,17113b36,77b8ee947eb84b4e,2019-08-06T05:36:38.140Z,"{""correct"":false,""caterpillars"":[5,8,1],""event_count"":76,""game_time"":79006,""event_code"":4110}",0006a69f,76,4110,79006,Bird Measurer (Assessment),Assessment,TREETOPCITY
2765,17113b36,77b8ee947eb84b4e,2019-08-06T05:36:49.155Z,"{""correct"":false,""caterpillars"":[5,8,6],""event_count"":85,""game_time"":90032,""event_code"":4110}",0006a69f,85,4110,90032,Bird Measurer (Assessment),Assessment,TREETOPCITY
2797,25fa8af4,6bdf9623adc94d89,2019-08-06T05:38:08.036Z,"{""correct"":true,""stumps"":[1,2,4],""event_count"":30,""game_time"":18026,""event_code"":4100}",0006a69f,30,4100,18026,Mushroom Sorter (Assessment),Assessment,TREETOPCITY
3725,25fa8af4,9501794defd84e4d,2019-08-06T20:35:12.290Z,"{""correct"":false,""stumps"":[3,2,5],""event_count"":29,""game_time"":18484,""event_code"":4100}",0006a69f,29,4100,18484,Mushroom Sorter (Assessment),Assessment,TREETOPCITY
3734,25fa8af4,9501794defd84e4d,2019-08-06T20:35:16.846Z,"{""correct"":true,""stumps"":[2,3,5],""event_count"":38,""game_time"":23043,""event_code"":4100}",0006a69f,38,4100,23043,Mushroom Sorter (Assessment),Assessment,TREETOPCITY
4137,17113b36,a9ef3ecb3d1acc6a,2019-08-06T20:50:12.115Z,"{""correct"":true,""caterpillars"":[4,8,5],""event_count"":14,""game_time"":13050,""event_code"":4110}",0006a69f,14,4110,13050,Bird Measurer (Assessment),Assessment,TREETOPCITY
6900,392e14df,197a373a77101924,2019-09-14T15:35:54.361Z,"{""buckets"":[0,0,0],""correct"":true,""buckets_placed"":[3,1,2],""duration"":12635,""event_count"":20,""game_time"":12635,""event_code"":4100}",0006c192,20,4100,12635,Cauldron Filler (Assessment),Assessment,MAGMAPEAK
7279,25fa8af4,b2297d292892745a,2019-10-01T00:53:30.849Z,"{""correct"":false,""stumps"":[0,0,0],""event_count"":43,""game_time"":32388,""event_code"":4100}",0006c192,43,4100,32388,Mushroom Sorter (Assessment),Assessment,TREETOPCITY
7292,25fa8af4,b2297d292892745a,2019-10-01T00:53:36.596Z,"{""correct"":false,""stumps"":[0,0,0],""event_count"":56,""game_time"":38139,""event_code"":4100}",0006c192,56,4100,38139,Mushroom Sorter (Assessment),Assessment,TREETOPCITY
7312,25fa8af4,b2297d292892745a,2019-10-01T00:53:53.430Z,"{""correct"":false,""stumps"":[2,5,3],""event_count"":76,""game_time"":54974,""event_code"":4100}",0006c192,76,4100,54974,Mushroom Sorter (Assessment),Assessment,TREETOPCITY
7341,25fa8af4,b2297d292892745a,2019-10-01T00:54:18.450Z,"{""correct"":false,""stumps"":[3,5,2],""event_count"":105,""game_time"":79992,""event_code"":4100}",0006c192,105,4100,79992,Mushroom Sorter (Assessment),Assessment,TREETOPCITY
7387,17113b36,957406a905d59afd,2019-10-01T00:59:35.003Z,"{""correct"":false,""caterpillars"":[3,8,5],""event_count"":27,""game_time"":24847,""event_code"":4110}",0006c192,27,4110,24847,Bird Measurer (Assessment),Assessment,TREETOPCITY
7393,17113b36,957406a905d59afd,2019-10-01T00:59:42.289Z,"{""correct"":true,""caterpillars"":[4,8,5],""event_count"":33,""game_time"":32131,""event_code"":4110}",0006c192,33,4110,32131,Bird Measurer (Assessment),Assessment,TREETOPCITY
8054,17113b36,ae691ec5ad5652cf,2019-09-22T16:32:43.121Z,"{""correct"":true,""caterpillars"":[4,8,5],""event_count"":14,""game_time"":12599,""event_code"":4110}",00129856,14,4110,12599,Bird Measurer (Assessment),Assessment,TREETOPCITY
